timestamp,endpoint,participant_id,predicted_id,ground_truth_should_match,predicted_match,confidence_score,threshold,faces_detected,lighting_condition,processing_time_ms,session_id,notes
2026-07-02T16:24:38.421995,/attendance/face_recognize,,,,False,0.409852284287144,0.4,1,,2144.5067999884486,dea2056c-079d-4ead-9d65-d43c0a4854f4,Rejected: No match found.
2026-07-02T16:24:41.101601,/attendance/face_recognize,,,,False,0.4322733093562651,0.4,1,,2269.0318999812007,dea2056c-079d-4ead-9d65-d43c0a4854f4,Rejected: No match found.
2026-07-02T16:24:43.906631,/attendance/face_recognize,,,,False,0.4031530149792347,0.4,1,,2421.4630000060424,dea2056c-079d-4ead-9d65-d43c0a4854f4,Rejected: No match found.
2026-07-02T16:24:46.020009,/attendance/face_recognize,P11,P11,True,True,0.30173597473286295,0.4,1,,1761.518600047566,dea2056c-079d-4ead-9d65-d43c0a4854f4,already_confirmed
2026-07-02T16:26:40.980550,/students/enroll,P12,P12,True,True,,0.4,1,,1716.8020999524742,,enroll_success
2026-07-02T16:26:48.162188,/attendance/face_recognize,P12,P12,,True,0.0,0.4,1,,2208.311799913645,5d0a2365-731c-4177-ac95-00a4aca62e50,confirmed
2026-07-02T16:26:50.664618,/attendance/face_recognize,P12,P12,True,True,0.3808962859277575,0.4,1,,2192.088000010699,5d0a2365-731c-4177-ac95-00a4aca62e50,already_confirmed
2026-07-02T16:26:53.261117,/attendance/face_recognize,P12,P12,True,True,0.27809690249939256,0.4,1,,2230.429399991408,5d0a2365-731c-4177-ac95-00a4aca62e50,already_confirmed
2026-07-02T16:26:56.594374,/attendance/face_recognize,P12,P12,True,True,0.20153678098902908,0.4,1,,2995.333099970594,5d0a2365-731c-4177-ac95-00a4aca62e50,already_confirmed
2026-07-02T16:26:59.394502,/attendance/face_recognize,P12,P12,True,True,0.21238754646217717,0.4,1,,2382.608500076458,5d0a2365-731c-4177-ac95-00a4aca62e50,already_confirmed
2026-07-02T16:29:15.318969,/students/enroll,P13,P13,True,True,,0.4,1,,1739.4302999600768,,enroll_success
2026-07-02T16:29:22.023370,/attendance/face_recognize,P13,P13,,True,0.0,0.4,1,,2219.974000006914,74d28ea1-0f9f-4882-9d6d-15c8145e0ed8,confirmed
2026-07-02T16:29:24.542146,/attendance/face_recognize,,,,False,0.6055825761271174,0.4,1,,2164.5359999965876,74d28ea1-0f9f-4882-9d6d-15c8145e0ed8,Rejected: No match found.
2026-07-02T16:29:27.308984,/attendance/face_recognize,,,,False,0.4995244800877773,0.4,1,,2386.982399970293,74d28ea1-0f9f-4882-9d6d-15c8145e0ed8,Rejected: No match found.
